               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12603,            0.028212,            0.026023,                   0,                   0,                   0,                   0,            0.081963,            0.030829,            0.019724,             0.00011,             0.00011,             0.09901
                   1,             0.12608,            0.025593,            0.025926,                   0,                   0,                   0,                   0,            0.078868,            0.029138,            0.019173,          0.00022995,          0.00022995,             0.09793
                   2,             0.12405,            0.024383,            0.024492,                   0,                   0,                   0,                   0,             0.07662,            0.029048,            0.018524,          0.00034969,          0.00034969,             0.09685
                   3,             0.11339,            0.023967,            0.021947,                   0,                   0,                   0,                   0,             0.07464,            0.028747,            0.018074,          0.00046906,          0.00046906,            0.095769
                   4,             0.11936,            0.022161,            0.021855,          0.00023063,            0.039062,          0.00012519,          1.9689e-05,            0.073303,            0.028205,            0.016911,          0.00058791,          0.00058791,            0.094688
                   5,             0.11054,            0.022714,            0.022255,          9.0636e-05,            0.015625,           4.677e-05,          6.9815e-06,            0.071935,            0.027997,             0.01602,          0.00070607,          0.00070607,            0.093606
                   6,             0.11932,            0.023708,            0.020067,           0.0001334,            0.023438,          7.1976e-05,          1.2048e-05,            0.070112,            0.028248,            0.015597,          0.00082338,          0.00082338,            0.092523
                   7,             0.10775,            0.024023,            0.017479,           0.0011804,            0.046875,          0.00037891,          6.1097e-05,            0.067691,            0.028213,            0.013801,           0.0009397,           0.0009397,             0.09144
                   8,             0.11004,            0.023899,            0.015266,           0.0014687,             0.09375,          0.00084786,          0.00014015,            0.065169,            0.028967,            0.012432,           0.0010549,           0.0010549,            0.090355
                   9,             0.10862,            0.024515,            0.014918,           0.0047138,             0.14844,           0.0029004,          0.00050462,            0.063254,            0.028649,            0.009868,           0.0011687,           0.0011687,            0.089269
                  10,             0.10274,             0.02417,            0.013019,            0.054797,             0.16406,            0.031609,           0.0068562,            0.059683,            0.028869,           0.0069409,           0.0012811,           0.0012811,            0.088181
                  11,            0.092628,            0.024355,           0.0094537,             0.34005,             0.48438,             0.28315,            0.055312,            0.055784,            0.028435,           0.0056835,            0.001392,            0.001392,            0.087092
                  12,            0.084236,            0.023704,           0.0088429,             0.52713,             0.45172,             0.44578,            0.097714,            0.048689,            0.027932,           0.0043806,            0.001501,            0.001501,            0.086001
                  13,             0.07687,            0.022214,           0.0068056,             0.41564,             0.55469,             0.46244,            0.087116,            0.048741,            0.023459,           0.0035718,           0.0016082,           0.0016082,            0.084908
                  14,            0.089817,            0.019413,           0.0062428,             0.40428,             0.65583,             0.47006,              0.1041,            0.054725,            0.020597,           0.0028423,           0.0017133,           0.0017133,            0.083813
                  15,            0.089638,            0.019004,           0.0057506,             0.35711,             0.70909,             0.34502,            0.067751,            0.049816,            0.021071,           0.0029054,           0.0018163,           0.0018163,            0.082716
                  16,            0.077204,            0.018755,           0.0044663,             0.46864,             0.75501,             0.57131,             0.22126,            0.048375,            0.019248,           0.0026682,            0.001917,            0.001917,            0.081617
                  17,            0.080242,            0.016923,           0.0046595,             0.30177,                 0.5,             0.26955,            0.043338,            0.051193,            0.018573,           0.0021869,           0.0020153,           0.0020153,            0.080515
                  18,            0.067433,            0.016564,           0.0037818,             0.53265,             0.69531,             0.54648,             0.10286,            0.044628,            0.018457,           0.0017413,            0.002111,            0.002111,            0.079411
                  19,            0.076725,            0.016327,           0.0043134,             0.66364,             0.70274,             0.65181,             0.19791,            0.044082,            0.017638,           0.0016973,            0.002204,            0.002204,            0.078304
                  20,            0.074757,            0.016084,           0.0035375,             0.57725,             0.72649,             0.64627,             0.22632,            0.044755,            0.017397,           0.0014709,           0.0022943,           0.0022943,            0.077194
                  21,            0.074405,            0.015621,           0.0044839,              0.5467,              0.5625,             0.58844,             0.21684,            0.045289,            0.016469,            0.001302,           0.0023816,           0.0023816,            0.076082
                  22,            0.075827,            0.015501,           0.0033503,              0.6147,             0.72256,             0.71402,              0.2821,            0.049483,            0.014979,           0.0014285,            0.002466,            0.002466,            0.074966
                  23,            0.078864,            0.014952,           0.0030107,             0.21761,             0.42188,              0.2578,             0.04449,             0.05461,            0.014375,           0.0012028,           0.0025473,           0.0025473,            0.073847
                  24,            0.074076,             0.01535,           0.0030326,             0.39007,             0.84375,              0.4485,            0.086654,            0.042594,             0.01548,           0.0011497,           0.0026253,           0.0026253,            0.072725
                  25,            0.066488,             0.01425,           0.0030127,             0.42762,              0.8125,             0.51098,             0.14658,             0.04371,            0.014457,           0.0013023,           0.0027001,           0.0027001,              0.0716
                  26,            0.061275,            0.013566,           0.0029491,             0.43701,             0.81131,             0.56168,             0.18754,            0.048597,            0.013848,           0.0010932,           0.0027715,           0.0027715,            0.070471
                  27,            0.071758,            0.013718,           0.0026635,             0.36124,                0.75,               0.374,            0.059302,            0.047829,            0.014257,             0.00123,           0.0028394,           0.0028394,            0.069339
                  28,            0.064133,            0.013259,           0.0031175,             0.58351,             0.84336,             0.66259,             0.24176,            0.034753,            0.014952,           0.0012464,           0.0029038,           0.0029038,            0.068204
                  29,            0.061543,            0.013327,           0.0025488,             0.71042,             0.77234,             0.78272,             0.29217,             0.03549,            0.014585,           0.0011487,           0.0029647,           0.0029647,            0.067065
                  30,            0.063814,            0.014157,           0.0034592,             0.50291,             0.75664,             0.57104,             0.14906,            0.045249,              0.0133,           0.0013761,           0.0030218,           0.0030218,            0.065922
                  31,            0.061415,            0.013307,           0.0024198,             0.58151,             0.78125,             0.64971,             0.25172,            0.034769,            0.014909,           0.0012702,           0.0030753,           0.0030753,            0.064775
                  32,            0.058109,            0.013595,           0.0023867,             0.67171,             0.82772,              0.8337,             0.23574,            0.041252,            0.013149,          0.00093332,           0.0031249,           0.0031249,            0.063625
                  33,            0.064415,             0.01304,           0.0029625,             0.77429,               0.875,              0.8799,             0.33908,            0.035337,            0.013467,          0.00095691,           0.0031708,           0.0031708,            0.062471
                  34,            0.053865,            0.012722,            0.002241,             0.77572,             0.78073,             0.81347,             0.32089,            0.045805,            0.012195,           0.0010801,           0.0032128,           0.0032128,            0.061313
                  35,            0.060671,             0.01284,           0.0032965,             0.74181,             0.88979,             0.84933,             0.38513,            0.028583,            0.013315,           0.0010043,            0.003251,            0.003251,            0.060151
                  36,            0.058006,            0.012643,           0.0029849,             0.69039,             0.85927,             0.82008,             0.31007,            0.034197,            0.012288,          0.00090951,           0.0032853,           0.0032853,            0.058985
                  37,            0.053662,            0.012889,           0.0025271,              0.6971,             0.84375,             0.82128,             0.36587,             0.03406,            0.012192,          0.00081154,           0.0033157,           0.0033157,            0.057816
                  38,            0.055244,            0.012175,           0.0024781,             0.81788,             0.95312,             0.83898,             0.25189,            0.035134,            0.012064,           0.0010047,           0.0033421,           0.0033421,            0.056642
                  39,            0.053123,            0.012492,           0.0026423,             0.77859,             0.93043,             0.96614,             0.50185,            0.029833,            0.012513,          0.00091842,           0.0033646,           0.0033646,            0.055465
                  40,            0.055492,            0.012036,           0.0020463,             0.74217,             0.93684,             0.82817,             0.35219,            0.032242,            0.011884,          0.00094613,           0.0033833,           0.0033833,            0.054283
                  41,            0.054626,            0.012303,           0.0021468,             0.45264,             0.77309,             0.53958,             0.19832,            0.051556,            0.010421,          0.00095543,            0.003398,            0.003398,            0.053098
                  42,            0.067735,            0.012653,           0.0030612,             0.95714,             0.97671,             0.98496,             0.49416,            0.030282,            0.012683,          0.00099798,           0.0034088,           0.0034088,            0.051909
                  43,            0.057603,            0.012369,           0.0025453,              0.8696,             0.94459,             0.93914,              0.3081,             0.03406,            0.012083,            0.001021,           0.0034158,           0.0034158,            0.050716
                  44,            0.057666,            0.013037,           0.0024898,             0.60408,             0.95312,             0.79696,             0.40129,            0.035937,            0.011703,           0.0010183,            0.003419,            0.003419,            0.049519
                  45,            0.056066,            0.011596,           0.0026387,             0.70164,               0.875,             0.78827,             0.36747,            0.030273,            0.011785,           0.0010893,           0.0034184,           0.0034184,            0.048318
                  46,            0.057662,            0.011573,           0.0023953,             0.66526,              0.9445,             0.77067,             0.37058,            0.030163,            0.011709,           0.0011236,            0.003414,            0.003414,            0.047114
                  47,             0.05601,            0.011736,           0.0030848,             0.76251,             0.92574,             0.80058,             0.39872,             0.03227,            0.011565,            0.001066,            0.003406,            0.003406,            0.045906
                  48,            0.052413,            0.011656,           0.0028553,             0.66519,              0.9375,             0.77543,             0.39252,            0.028598,             0.01141,           0.0011176,           0.0033944,           0.0033944,            0.044694
                  49,            0.047619,            0.011104,           0.0020904,                   1,             0.97844,             0.99109,             0.45454,            0.030864,            0.011015,           0.0011387,           0.0033792,           0.0033792,            0.043479
                  50,            0.051777,            0.011384,           0.0022274,             0.97631,             0.96871,             0.97969,             0.42487,            0.032011,            0.010786,           0.0011493,           0.0033605,           0.0033605,             0.04226
                  51,            0.049077,            0.011279,           0.0021939,             0.85514,              0.8952,             0.94991,             0.46761,            0.030521,            0.010865,           0.0010556,           0.0033384,           0.0033384,            0.041038
                  52,            0.053914,            0.011939,           0.0024045,             0.94461,             0.97654,              0.9831,             0.46107,            0.030618,            0.010366,          0.00098004,           0.0033131,           0.0033131,            0.039813
