               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12513,            0.030244,                   0,           0.0016955,            0.015625,          5.2405e-05,          1.0481e-05,             0.11295,            0.028949,                   0,             0.00011,             0.00011,             0.09901
                   1,              0.1132,            0.028604,                   0,          0.00099208,             0.03125,          0.00016994,          3.1152e-05,            0.095552,            0.030281,                   0,          0.00022995,          0.00022995,             0.09793
                   2,             0.10265,             0.02839,                   0,           0.0019589,              0.0625,          0.00079219,          0.00013854,            0.083392,            0.031542,                   0,          0.00034969,          0.00034969,             0.09685
                   3,            0.097244,            0.028446,                   0,           0.0017898,            0.046875,           0.0010029,          0.00019998,             0.07817,            0.031611,                   0,          0.00046906,          0.00046906,            0.095769
                   4,            0.088561,            0.027467,                   0,           0.0040266,             0.57812,            0.003547,          0.00068757,            0.071024,            0.032554,                   0,          0.00058791,          0.00058791,            0.094688
                   5,            0.082259,            0.028822,                   0,             0.03516,               0.375,             0.02456,           0.0064929,            0.062032,            0.033699,                   0,          0.00070607,          0.00070607,            0.093606
                   6,             0.07413,            0.028414,                   0,             0.14608,             0.32812,             0.10822,            0.022587,            0.056531,            0.033198,                   0,          0.00082338,          0.00082338,            0.092523
                   7,            0.068032,            0.031587,                   0,             0.58174,             0.49983,             0.47938,             0.15252,            0.052044,            0.031978,                   0,           0.0009397,           0.0009397,             0.09144
                   8,            0.062601,            0.027439,                   0,             0.50234,              0.6875,             0.53256,             0.13914,            0.051785,            0.029264,                   0,           0.0010549,           0.0010549,            0.090355
                   9,            0.059225,             0.02977,                   0,             0.82149,             0.85938,             0.90192,             0.39626,            0.044503,            0.027654,                   0,           0.0011687,           0.0011687,            0.089269
                  10,            0.053334,            0.028283,                   0,             0.96874,             0.96846,             0.98988,             0.53823,            0.049044,            0.022177,                   0,           0.0012811,           0.0012811,            0.088181
                  11,            0.051548,            0.022777,                   0,             0.96923,             0.98431,             0.98501,             0.55947,            0.040652,            0.021294,                   0,            0.001392,            0.001392,            0.087092
                  12,            0.049607,             0.02143,                   0,             0.98375,             0.98438,             0.99396,             0.63545,            0.042906,            0.018913,                   0,            0.001501,            0.001501,            0.086001
                  13,             0.04826,             0.01931,                   0,             0.77586,              0.8125,             0.84494,             0.27001,              0.0482,            0.017432,                   0,           0.0016082,           0.0016082,            0.084908
                  14,            0.059694,            0.016741,                   0,             0.41914,             0.98438,             0.45345,             0.19269,            0.053738,            0.017233,                   0,           0.0017133,           0.0017133,            0.083813
                  15,            0.060276,            0.018424,                   0,             0.79092,             0.82753,             0.89019,             0.50783,             0.06304,            0.016459,                   0,           0.0018163,           0.0018163,            0.082716
                  16,            0.055308,            0.018486,                   0,              0.9067,             0.95312,              0.9669,             0.56533,             0.04472,            0.018567,                   0,            0.001917,            0.001917,            0.081617
                  17,            0.051579,            0.018909,                   0,             0.99998,             0.98438,              0.9947,             0.44676,            0.043885,            0.017595,                   0,           0.0020153,           0.0020153,            0.080515
