               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034696,           0.0084197,                   0,                   1,             0.99999,               0.995,             0.76406,            0.022639,           0.0085754,                   0,           0.0050167,           0.0050167,            0.034917
                  39,            0.032109,           0.0083035,                   0,                   1,             0.99998,               0.995,             0.59612,            0.027903,           0.0084007,                   0,           0.0050505,           0.0050505,             0.03315
                  40,            0.030491,            0.007856,                   0,             0.99999,                   1,               0.995,             0.67989,            0.025562,           0.0080478,                   0,           0.0050784,           0.0050784,            0.031378
                  41,            0.029383,           0.0075389,                   0,             0.99998,                   1,               0.995,             0.75126,            0.028044,           0.0078543,                   0,           0.0051004,           0.0051004,              0.0296
                  42,            0.030867,           0.0074315,                   0,                   1,                   1,               0.995,             0.77195,            0.022781,           0.0078974,                   0,           0.0051166,           0.0051166,            0.027817
                  43,              0.0272,           0.0078982,                   0,             0.99999,                   1,               0.995,             0.78139,            0.022734,            0.007797,                   0,            0.005127,            0.005127,            0.026027
                  44,            0.029447,           0.0078878,                   0,             0.99999,                   1,               0.995,             0.77416,            0.021473,           0.0076481,                   0,           0.0051317,           0.0051317,            0.024232
                  45,             0.02977,              0.0082,                   0,             0.99999,                   1,               0.995,             0.78119,            0.022809,           0.0076374,                   0,           0.0051307,           0.0051307,            0.022431
                  46,            0.031301,           0.0075528,                   0,             0.99998,             0.98958,              0.9945,             0.75707,            0.023737,           0.0080541,                   0,           0.0051241,           0.0051241,            0.020624
                  47,            0.030448,           0.0075199,                   0,             0.99999,                   1,               0.995,             0.77169,             0.02035,           0.0076518,                   0,            0.005112,            0.005112,            0.018812
                  48,            0.030803,           0.0070794,                   0,                   1,                   1,               0.995,              0.7476,            0.023841,           0.0079714,                   0,           0.0050944,           0.0050944,            0.016994
                  49,            0.030766,           0.0080668,                   0,                   1,                   1,               0.995,             0.69049,            0.024333,           0.0075761,                   0,           0.0050716,           0.0050716,            0.015172
                  50,            0.029025,           0.0074369,                   0,             0.99999,                   1,               0.995,             0.78956,            0.022013,           0.0075321,                   0,           0.0050435,           0.0050435,            0.013343
